Date,Time,PV_W_078,PV_Wh_078
2021/06/18,00:00:00,15,0
2021/06/18,00:01:00,15,0
2021/06/18,00:02:00,14,0
2021/06/18,00:03:00,14,0
2021/06/18,00:04:00,12,0
2021/06/18,00:05:00,14,0
2021/06/18,00:06:00,16,0
2021/06/18,00:07:00,14,0
2021/06/18,00:08:00,15,0
2021/06/18,00:09:00,12,0
2021/06/18,00:10:00,13,0
2021/06/18,00:11:00,13,0
2021/06/18,00:12:00,12,0
2021/06/18,00:13:00,14,0
2021/06/18,00:14:00,16,0
2021/06/18,00:15:00,12,0
2021/06/18,00:16:00,13,0
2021/06/18,00:17:00,14,0
2021/06/18,00:18:00,14,0
2021/06/18,00:19:00,13,0
2021/06/18,00:20:00,15,0
2021/06/18,00:21:00,12,0
2021/06/18,00:22:00,15,0
2021/06/18,00:23:00,15,0
2021/06/18,00:24:00,14,0
2021/06/18,00:25:00,12,0
2021/06/18,00:26:00,14,0
2021/06/18,00:27:00,16,0
2021/06/18,00:28:00,13,0
2021/06/18,00:29:00,15,0
2021/06/18,00:30:00,16,0
2021/06/18,00:31:00,15,0
2021/06/18,00:32:00,13,0
2021/06/18,00:33:00,14,0
2021/06/18,00:34:00,15,0
2021/06/18,00:35:00,12,0
2021/06/18,00:36:00,12,0
2021/06/18,00:37:00,18,0
2021/06/18,00:38:00,15,0
2021/06/18,00:39:00,14,0
2021/06/18,00:40:00,13,0
2021/06/18,00:41:00,14,0
2021/06/18,00:42:00,12,0
2021/06/18,00:43:00,15,0
2021/06/18,00:44:00,15,0
2021/06/18,00:45:00,12,0
2021/06/18,00:46:00,14,0
2021/06/18,00:47:00,16,0
2021/06/18,00:48:00,16,0
2021/06/18,00:49:00,13,0
2021/06/18,00:50:00,14,0
2021/06/18,00:51:00,13,0
2021/06/18,00:52:00,16,0
2021/06/18,00:53:00,14,0
2021/06/18,00:54:00,13,0
2021/06/18,00:55:00,16,0
2021/06/18,00:56:00,13,0
2021/06/18,00:57:00,17,0
2021/06/18,00:58:00,14,0
2021/06/18,00:59:00,15,0
2021/06/18,01:00:00,13,0
2021/06/18,01:01:00,14,0
2021/06/18,01:02:00,15,0
2021/06/18,01:03:00,15,0
2021/06/18,01:04:00,12,0
2021/06/18,01:05:00,13,0
2021/06/18,01:06:00,14,0
2021/06/18,01:07:00,16,0
2021/06/18,01:08:00,13,0
2021/06/18,01:09:00,15,0
2021/06/18,01:10:00,14,0
2021/06/18,01:11:00,15,0
2021/06/18,01:12:00,11,0
2021/06/18,01:13:00,15,0
2021/06/18,01:14:00,14,0
2021/06/18,01:15:00,16,0
2021/06/18,01:16:00,14,0
2021/06/18,01:17:00,15,0
2021/06/18,01:18:00,15,0
2021/06/18,01:19:00,16,0
2021/06/18,01:20:00,15,0
2021/06/18,01:21:00,14,0
2021/06/18,01:22:00,14,0
2021/06/18,01:23:00,13,0
2021/06/18,01:24:00,13,0
2021/06/18,01:25:00,17,0
2021/06/18,01:26:00,12,0
2021/06/18,01:27:00,16,0
2021/06/18,01:28:00,13,0
2021/06/18,01:29:00,14,0
2021/06/18,01:30:00,16,0
2021/06/18,01:31:00,16,0
2021/06/18,01:32:00,16,0
2021/06/18,01:33:00,14,0
2021/06/18,01:34:00,15,0
