Date,Time,PV_W_078,PV_Wh_078
2021/06/29,00:00:00,13,0
2021/06/29,00:01:00,13,0
2021/06/29,00:02:00,15,0
2021/06/29,00:03:00,15,0
2021/06/29,00:04:00,17,0
2021/06/29,00:05:00,12,0
2021/06/29,00:06:00,13,0
2021/06/29,00:07:00,14,0
2021/06/29,00:08:00,12,0
2021/06/29,00:09:00,12,0
2021/06/29,00:10:00,15,0
2021/06/29,00:11:00,13,0
2021/06/29,00:12:00,14,0
2021/06/29,00:13:00,14,0
2021/06/29,00:14:00,14,0
2021/06/29,00:15:00,11,0
2021/06/29,00:16:00,15,0
2021/06/29,00:17:00,10,0
2021/06/29,00:18:00,11,0
2021/06/29,00:19:00,13,0
2021/06/29,00:20:00,15,0
2021/06/29,00:21:00,12,0
2021/06/29,00:22:00,13,0
2021/06/29,00:23:00,13,0
2021/06/29,00:24:00,13,0
2021/06/29,00:25:00,12,0
2021/06/29,00:26:00,12,0
2021/06/29,00:27:00,11,0
2021/06/29,00:28:00,11,0
2021/06/29,00:29:00,15,0
2021/06/29,00:30:00,11,0
2021/06/29,00:31:00,14,0
2021/06/29,00:32:00,12,0
2021/06/29,00:33:00,16,0
2021/06/29,00:34:00,11,0
2021/06/29,00:35:00,14,0
2021/06/29,00:36:00,13,0
2021/06/29,00:37:00,15,0
2021/06/29,00:38:00,12,0
2021/06/29,00:39:00,12,0
2021/06/29,00:40:00,12,0
2021/06/29,00:41:00,11,0
2021/06/29,00:42:00,13,0
2021/06/29,00:43:00,14,0
2021/06/29,00:44:00,12,0
2021/06/29,00:45:00,15,0
2021/06/29,00:46:00,14,0
2021/06/29,00:47:00,16,0
2021/06/29,00:48:00,17,0
2021/06/29,00:49:00,15,0
2021/06/29,00:50:00,14,0
2021/06/29,00:51:00,18,0
2021/06/29,00:52:00,15,0
2021/06/29,00:53:00,16,0
2021/06/29,00:54:00,15,0
2021/06/29,00:55:00,14,0
2021/06/29,00:56:00,13,0
2021/06/29,00:57:00,13,0
2021/06/29,00:58:00,15,31
2021/06/29,00:59:00,15,31
2021/06/29,01:00:00,14,31
2021/06/29,01:01:00,15,31
2021/06/29,01:02:00,17,31
2021/06/29,01:03:00,15,31
2021/06/29,01:04:00,11,31
2021/06/29,01:05:00,15,31
2021/06/29,01:06:00,15,31
2021/06/29,01:07:00,14,31
2021/06/29,01:08:00,16,31
2021/06/29,01:09:00,15,31
2021/06/29,01:10:00,13,31
2021/06/29,01:11:00,13,31
2021/06/29,01:12:00,16,31
2021/06/29,01:13:00,17,31
2021/06/29,01:14:00,14,31
2021/06/29,01:15:00,14,31
2021/06/29,01:16:00,14,31
2021/06/29,01:17:00,14,31
2021/06/29,01:18:00,13,31
2021/06/29,01:19:00,16,31
2021/06/29,01:20:00,15,31
2021/06/29,01:21:00,12,31
2021/06/29,01:22:00,17,31
2021/06/29,01:23:00,16,31
2021/06/29,01:24:00,18,31
2021/06/29,01:25:00,12,31
2021/06/29,01:26:00,12,31
2021/06/29,01:27:00,14,31
2021/06/29,01:28:00,12,31
2021/06/29,01:29:00,12,31
2021/06/29,01:30:00,16,31
2021/06/29,01:31:00,13,31
2021/06/29,01:32:00,8,31
2021/06/29,01:33:00,13,31
2021/06/29,01:34:00,13,31
2021/06/29,01:35:00,13,31
2021/06/29,01:36:00,14,31
2021/06/29,01:37:00,15,31
2021/06/29,01:38:00,12,31
2021/06/29,01:39:00,14,31
2021/06/29,01:40:00,15,31
2021/06/29,01:41:00,16,31
2021/06/29,01:42:00,15,31
2021/06/29,01:43:00,14,31
2021/06/29,01:44:00,13,31
2021/06/29,01:45:00,12,31
2021/06/29,01:46:00,14,31
2021/06/29,01:47:00,13,31
2021/06/29,01:48:00,15,31
2021/06/29,01:49:00,12,31
2021/06/29,01:50:00,12,31
2021/06/29,01:51:00,12,31
2021/06/29,01:52:00,15,31
2021/06/29,01:53:00,13,31
2021/06/29,01:54:00,13,31
2021/06/29,01:55:00,9,31
2021/06/29,01:56:00,9,31
2021/06/29,01:57:00,12,31
2021/06/29,01:58:00,14,31
2021/06/29,01:59:00,14,31
2021/06/29,02:00:00,14,31
2021/06/29,02:01:00,10,31
2021/06/29,02:02:00,14,31
2021/06/29,02:03:00,15,31
2021/06/29,02:04:00,14,31
2021/06/29,02:05:00,15,31
2021/06/29,02:06:00,12,31
2021/06/29,02:07:00,16,31
2021/06/29,02:08:00,14,31
2021/06/29,02:09:00,14,31
2021/06/29,02:10:00,14,31
2021/06/29,02:11:00,15,31
2021/06/29,02:12:00,13,31
2021/06/29,02:13:00,14,31
2021/06/29,02:14:00,12,31
2021/06/29,02:15:00,14,31
2021/06/29,02:16:00,12,31
2021/06/29,02:17:00,15,31
2021/06/29,02:18:00,16,31
2021/06/29,02:19:00,14,31
2021/06/29,02:20:00,17,31
2021/06/29,02:21:00,16,31
2021/06/29,02:22:00,13,31
2021/06/29,02:23:00,15,31
2021/06/29,02:24:00,14,31
2021/06/29,02:25:00,17,31
2021/06/29,02:26:00,16,31
2021/06/29,02:27:00,12,31
2021/06/29,02:28:00,14,31
2021/06/29,02:29:00,13,31
2021/06/29,02:30:00,13,31
2021/06/29,02:31:00,13,31
2021/06/29,02:32:00,11,31
2021/06/29,02:33:00,12,31
2021/06/29,02:34:00,12,31
2021/06/29,02:35:00,11,31
2021/06/29,02:36:00,11,31
2021/06/29,02:37:00,12,31
2021/06/29,02:38:00,12,31
