Date,Time,PV_W_078,PV_Wh_078
2021/06/13,00:00:00,15,0
2021/06/13,00:01:00,13,0
2021/06/13,00:02:00,12,0
2021/06/13,00:03:00,14,0
2021/06/13,00:04:00,11,0
2021/06/13,00:05:00,9,0
2021/06/13,00:06:00,11,0
2021/06/13,00:07:00,13,0
2021/06/13,00:08:00,11,0
2021/06/13,00:09:00,12,0
2021/06/13,00:10:00,14,0
2021/06/13,00:11:00,15,0
2021/06/13,00:12:00,13,0
2021/06/13,00:13:00,10,0
2021/06/13,00:14:00,18,0
2021/06/13,00:15:00,12,0
2021/06/13,00:16:00,12,0
2021/06/13,00:17:00,11,0
2021/06/13,00:18:00,13,0
2021/06/13,00:19:00,13,0
2021/06/13,00:20:00,12,0
2021/06/13,00:21:00,11,0
2021/06/13,00:22:00,13,0
2021/06/13,00:23:00,11,0
2021/06/13,00:24:00,14,0
2021/06/13,00:25:00,12,0
2021/06/13,00:26:00,11,0
2021/06/13,00:27:00,15,0
2021/06/13,00:28:00,11,0
2021/06/13,00:29:00,14,31
2021/06/13,00:30:00,14,31
2021/06/13,00:31:00,10,31
2021/06/13,00:32:00,11,31
2021/06/13,00:33:00,14,31
2021/06/13,00:34:00,12,31
2021/06/13,00:35:00,15,31
2021/06/13,00:36:00,16,31
2021/06/13,00:37:00,11,31
2021/06/13,00:38:00,13,31
2021/06/13,00:39:00,13,31
2021/06/13,00:40:00,13,31
2021/06/13,00:41:00,16,31
2021/06/13,00:42:00,13,31
2021/06/13,00:43:00,11,31
2021/06/13,00:44:00,13,31
2021/06/13,00:45:00,14,31
2021/06/13,00:46:00,12,31
2021/06/13,00:47:00,13,31
2021/06/13,00:48:00,13,31
2021/06/13,00:49:00,12,31
2021/06/13,00:50:00,14,31
2021/06/13,00:51:00,12,31
2021/06/13,00:52:00,12,31
2021/06/13,00:53:00,14,31
2021/06/13,00:54:00,13,31
2021/06/13,00:55:00,15,31
2021/06/13,00:56:00,11,31
2021/06/13,00:57:00,9,31
2021/06/13,00:58:00,12,31
2021/06/13,00:59:00,15,31
2021/06/13,01:00:00,16,31
2021/06/13,01:01:00,14,31
2021/06/13,01:02:00,16,31
2021/06/13,01:03:00,16,31
2021/06/13,01:04:00,12,31
2021/06/13,01:05:00,15,31
2021/06/13,01:06:00,13,31
2021/06/13,01:07:00,12,31
2021/06/13,01:08:00,13,31
2021/06/13,01:09:00,16,31
2021/06/13,01:10:00,15,31
2021/06/13,01:11:00,14,31
2021/06/13,01:12:00,15,31
2021/06/13,01:13:00,14,31
2021/06/13,01:14:00,13,31
2021/06/13,01:15:00,13,31
2021/06/13,01:16:00,14,31
2021/06/13,01:17:00,15,31
2021/06/13,01:18:00,16,31
2021/06/13,01:19:00,13,31
2021/06/13,01:20:00,11,31
2021/06/13,01:21:00,11,31
2021/06/13,01:22:00,10,31
2021/06/13,01:23:00,12,31
2021/06/13,01:24:00,13,31
2021/06/13,01:25:00,12,31
2021/06/13,01:26:00,12,31
2021/06/13,01:27:00,12,31
2021/06/13,01:28:00,10,31
2021/06/13,01:29:00,12,31
2021/06/13,01:30:00,14,31
2021/06/13,01:31:00,14,31
2021/06/13,01:32:00,13,31
