Date,Time,PV_W_078,PV_Wh_078
2021/04/22,00:00:00,14,0
2021/04/22,00:01:00,14,0
2021/04/22,00:02:00,12,0
2021/04/22,00:03:00,14,0
2021/04/22,00:04:00,12,0
2021/04/22,00:05:00,13,0
2021/04/22,00:06:00,16,0
2021/04/22,00:07:00,10,0
2021/04/22,00:08:00,13,0
2021/04/22,00:09:00,13,0
2021/04/22,00:10:00,11,0
2021/04/22,00:11:00,13,0
2021/04/22,00:12:00,13,0
2021/04/22,00:13:00,13,0
2021/04/22,00:14:00,12,0
2021/04/22,00:15:00,13,0
2021/04/22,00:16:00,12,0
2021/04/22,00:17:00,14,0
2021/04/22,00:18:00,12,0
2021/04/22,00:19:00,10,0
2021/04/22,00:20:00,12,0
2021/04/22,00:21:00,12,0
2021/04/22,00:22:00,12,0
2021/04/22,00:23:00,13,0
2021/04/22,00:24:00,12,0
2021/04/22,00:25:00,13,0
2021/04/22,00:26:00,13,0
2021/04/22,00:27:00,11,0
2021/04/22,00:28:00,14,0
2021/04/22,00:29:00,16,0
2021/04/22,00:30:00,14,0
2021/04/22,00:31:00,14,0
2021/04/22,00:32:00,14,0
2021/04/22,00:33:00,11,0
2021/04/22,00:34:00,12,0
2021/04/22,00:35:00,17,0
2021/04/22,00:36:00,14,0
2021/04/22,00:37:00,15,0
2021/04/22,00:38:00,15,0
2021/04/22,00:39:00,13,0
2021/04/22,00:40:00,14,0
2021/04/22,00:41:00,13,0
2021/04/22,00:42:00,15,0
2021/04/22,00:43:00,15,0
2021/04/22,00:44:00,16,0
2021/04/22,00:45:00,14,0
2021/04/22,00:46:00,11,0
2021/04/22,00:47:00,13,0
2021/04/22,00:48:00,10,0
2021/04/22,00:49:00,11,0
2021/04/22,00:50:00,13,0
2021/04/22,00:51:00,14,0
2021/04/22,00:52:00,16,0
2021/04/22,00:53:00,14,0
2021/04/22,00:54:00,17,0
2021/04/22,00:55:00,15,0
2021/04/22,00:56:00,13,0
2021/04/22,00:57:00,13,0
2021/04/22,00:58:00,13,0
2021/04/22,00:59:00,14,0
2021/04/22,01:00:00,14,0
2021/04/22,01:01:00,13,0
2021/04/22,01:02:00,11,0
2021/04/22,01:03:00,12,0
2021/04/22,01:04:00,15,0
2021/04/22,01:05:00,12,0
2021/04/22,01:06:00,16,0
2021/04/22,01:07:00,12,0
2021/04/22,01:08:00,13,0
2021/04/22,01:09:00,11,0
2021/04/22,01:10:00,15,0
2021/04/22,01:11:00,8,0
2021/04/22,01:12:00,13,0
2021/04/22,01:13:00,10,0
2021/04/22,01:14:00,10,0
2021/04/22,01:15:00,12,0
2021/04/22,01:16:00,12,0
2021/04/22,01:17:00,15,0
2021/04/22,01:18:00,15,0
2021/04/22,01:19:00,13,0
2021/04/22,01:20:00,10,0
2021/04/22,01:21:00,10,0
2021/04/22,01:22:00,13,0
2021/04/22,01:23:00,12,0
2021/04/22,01:24:00,14,0
2021/04/22,01:25:00,17,0
2021/04/22,01:26:00,11,0
2021/04/22,01:27:00,11,0
2021/04/22,01:28:00,13,0
2021/04/22,01:29:00,17,0
2021/04/22,01:30:00,17,0
2021/04/22,01:31:00,14,0
2021/04/22,01:32:00,14,0
2021/04/22,01:33:00,15,0
2021/04/22,01:34:00,12,0
2021/04/22,01:35:00,13,0
2021/04/22,01:36:00,10,0
2021/04/22,01:37:00,15,0
2021/04/22,01:38:00,17,0
2021/04/22,01:39:00,12,0
2021/04/22,01:40:00,14,0
2021/04/22,01:41:00,14,0
2021/04/22,01:42:00,14,0
2021/04/22,01:43:00,11,0
2021/04/22,01:44:00,12,0
2021/04/22,01:45:00,12,0
2021/04/22,01:46:00,12,0
2021/04/22,01:47:00,12,0
2021/04/22,01:48:00,13,0
2021/04/22,01:49:00,12,0
2021/04/22,01:50:00,13,0
2021/04/22,01:51:00,13,0
2021/04/22,01:52:00,10,0
2021/04/22,01:53:00,14,0
2021/04/22,01:54:00,10,0
2021/04/22,01:55:00,14,0
2021/04/22,01:56:00,12,0
2021/04/22,01:57:00,14,0
2021/04/22,01:58:00,12,0
2021/04/22,01:59:00,13,31
2021/04/22,02:00:00,11,31
2021/04/22,02:01:00,15,31
2021/04/22,02:02:00,11,31
2021/04/22,02:03:00,14,31
2021/04/22,02:04:00,14,31
2021/04/22,02:05:00,14,31
2021/04/22,02:06:00,12,31
2021/04/22,02:07:00,13,31
2021/04/22,02:08:00,11,31
2021/04/22,02:09:00,10,31
2021/04/22,02:10:00,14,31
2021/04/22,02:11:00,16,31
2021/04/22,02:12:00,10,31
2021/04/22,02:13:00,15,31
2021/04/22,02:14:00,14,31
2021/04/22,02:15:00,13,31
2021/04/22,02:16:00,11,31
2021/04/22,02:17:00,18,31
2021/04/22,02:18:00,13,31
2021/04/22,02:19:00,11,31
2021/04/22,02:20:00,12,31
2021/04/22,02:21:00,16,31
2021/04/22,02:22:00,12,31
2021/04/22,02:23:00,13,31
2021/04/22,02:24:00,16,31
2021/04/22,02:25:00,13,31
2021/04/22,02:26:00,13,31
2021/04/22,02:27:00,12,31
2021/04/22,02:28:00,15,31
2021/04/22,02:29:00,13,31
2021/04/22,02:30:00,11,31
2021/04/22,02:31:00,12,31
2021/04/22,02:32:00,14,31
2021/04/22,02:33:00,12,31
2021/04/22,02:34:00,10,31
2021/04/22,02:35:00,15,31
2021/04/22,02:36:00,13,31
2021/04/22,02:37:00,18,31
2021/04/22,02:38:00,12,31
2021/04/22,02:39:00,14,31
2021/04/22,02:40:00,15,31
2021/04/22,02:41:00,11,31
2021/04/22,02:42:00,12,31
2021/04/22,02:43:00,11,31
2021/04/22,02:44:00,12,31
2021/04/22,02:45:00,12,31
2021/04/22,02:46:00,14,31
2021/04/22,02:47:00,16,31
2021/04/22,02:48:00,12,31
2021/04/22,02:49:00,14,31
2021/04/22,02:50:00,10,31
2021/04/22,02:51:00,15,31
2021/04/22,02:52:00,12,31
2021/04/22,02:53:00,12,31
2021/04/22,02:54:00,16,31
2021/04/22,02:55:00,15,31
2021/04/22,02:56:00,11,31
2021/04/22,02:57:00,11,31
2021/04/22,02:58:00,13,31
2021/04/22,02:59:00,14,31
2021/04/22,03:00:00,15,31
2021/04/22,03:01:00,13,31
2021/04/22,03:02:00,13,31
2021/04/22,03:03:00,12,31
2021/04/22,03:04:00,14,31
2021/04/22,03:05:00,14,31
2021/04/22,03:06:00,12,31
2021/04/22,03:07:00,11,31
2021/04/22,03:08:00,12,31
2021/04/22,03:09:00,12,31
2021/04/22,03:10:00,13,31
2021/04/22,03:11:00,15,31
2021/04/22,03:12:00,13,31
2021/04/22,03:13:00,11,31
2021/04/22,03:14:00,13,31
2021/04/22,03:15:00,15,31
2021/04/22,03:16:00,9,31
2021/04/22,03:17:00,11,31
2021/04/22,03:18:00,15,31
2021/04/22,03:19:00,14,31
2021/04/22,03:20:00,17,31
2021/04/22,03:21:00,17,31
